country_code,country,population
1,Armenia,2970000.0
2,Afghanistan,29827333.333333332
3,Albania,3163000.0
4,Algeria,38484333.333333336
7,Angola,20824333.333333332
8,Antigua and Barbuda,89000.0
9,Argentina,41087333.333333336
10,Australia,23044666.666666668
11,Austria,8464000.0
12,Bahamas,371666.6666666667
14,Barbados,283333.3333333333
16,Bangladesh,154717333.33333334
17,Bermuda,65000.0
19,Bolivia (Plurinational State of),10497000.0
20,Botswana,2004000.0
21,Brazil,198651000.0
23,Belize,324000.0
25,Solomon Islands,549666.6666666666
26,Brunei Darussalam,412333.3333333333
27,Bulgaria,7278000.0
28,Myanmar,52802333.333333336
32,Cameroon,21703333.333333332
33,Canada,34835666.666666664
35,Cabo Verde,494666.6666666667
37,Central African Republic,4525666.666666667
38,Sri Lanka,21099000.0
39,Chad,12451000.0
40,Chile,17464333.333333332
41,"China, mainland",1377024000.0
44,Colombia,47701333.333333336
46,Congo,4336666.666666667
48,Costa Rica,4805000.0
49,Cuba,11271000.0
50,Cyprus,1129000.0
52,Azerbaijan,9308000.0
53,Benin,10051333.333333334
54,Denmark,5597333.333333333
55,Dominica,71666.66666666667
56,Dominican Republic,10276333.333333334
57,Belarus,9404000.0
58,Ecuador,15492000.0
59,Egypt,80723333.33333333
60,El Salvador,6297666.666666667
63,Estonia,1290666.6666666667
66,Fiji,874666.6666666666
67,Finland,5407666.666666667
68,France,63936666.666666664
70,French Polynesia,274000.0
72,Djibouti,860000.0
73,Georgia,4357666.666666667
74,Gabon,1633000.0
75,Gambia,1791666.6666666667
79,Germany,82806666.66666667
80,Bosnia and Herzegovina,3834000.0
81,Ghana,25364000.0
83,Kiribati,100666.66666666667
84,Greece,11124000.0
86,Grenada,105333.33333333333
89,Guatemala,15086000.0
90,Guinea,11452666.666666666
91,Guyana,795333.3333333334
93,Haiti,10174666.666666666
95,Honduras,7936333.333333333
96,"China, Hong Kong SAR",7149333.333333333
97,Hungary,9975666.666666666
98,Croatia,4307000.0
99,Iceland,326000.0
100,India,1236661000.0
101,Indonesia,246844000.0
102,Iran (Islamic Republic of),76431666.66666667
103,Iraq,32793333.333333336
104,Ireland,4575333.333333333
105,Israel,7639666.666666667
106,Italy,60868000.0
107,C̫te d'Ivoire,19848666.666666668
108,Kazakhstan,16270000.0
109,Jamaica,2769333.3333333335
110,Japan,127237666.66666667
112,Jordan,7004666.666666667
113,Kyrgyzstan,5475000.0
114,Kenya,43186666.666666664
115,Cambodia,14868666.666666666
116,Democratic People's Republic of Korea,24763000.0
117,Republic of Korea,48999666.666666664
118,Kuwait,3248000.0
119,Latvia,2061000.0
120,Lao People's Democratic Republic,6645666.666666667
121,Lebanon,4649000.0
122,Lesotho,2052000.0
123,Liberia,4188000.0
126,Lithuania,3029666.6666666665
128,"China, Macao SAR",556333.3333333334
129,Madagascar,22299333.333333332
130,Malawi,15909000.0
131,Malaysia,29238666.666666668
132,Maldives,338333.3333333333
133,Mali,14857666.666666666
134,Malta,427666.6666666667
136,Mauritania,3796333.3333333335
137,Mauritius,1239666.6666666667
138,Mexico,120846666.66666667
141,Mongolia,2796333.3333333335
143,Morocco,32529333.333333332
144,Mozambique,25206000.0
146,Republic of Moldova,3514666.6666666665
147,Namibia,2260000.0
149,Nepal,27475666.666666668
150,Netherlands,16713000.0
153,New Caledonia,253000.0
154,The former Yugoslav Republic of Macedonia,2105666.6666666665
155,Vanuatu,247333.33333333334
156,New Zealand,4460000.0
157,Nicaragua,5992333.333333333
158,Niger,17166333.333333332
159,Nigeria,168880666.66666666
162,Norway,4993666.666666667
165,Pakistan,179156333.33333334
166,Panama,3802000.0
167,Czechia,10657666.666666666
169,Paraguay,6687333.333333333
170,Peru,29993000.0
171,Philippines,96718000.0
173,Poland,38211000.0
174,Portugal,10603333.333333334
175,Guinea-Bissau,1664000.0
176,Timor-Leste,1114333.3333333333
181,Zimbabwe,13744333.333333334
183,Romania,21754333.333333332
184,Rwanda,11459666.666666666
185,Russian Federation,143147333.33333334
188,Saint Kitts and Nevis,53666.666666666664
189,Saint Lucia,180666.66666666666
191,Saint Vincent and the Grenadines,109000.0
193,Sao Tome and Principe,188000.0
194,Saudi Arabia,28293000.0
195,Senegal,13730000.0
197,Sierra Leone,5978666.666666667
198,Slovenia,2067333.3333333335
199,Slovakia,5445333.333333333
202,South Africa,52370333.333333336
203,Spain,46732000.0
206,Sudan (former),43552000.0
207,Suriname,534666.6666666666
208,Tajikistan,8010666.666666667
209,Swaziland,1231000.0
210,Sweden,9510333.333333334
211,Switzerland,7996666.666666667
213,Turkmenistan,5173333.333333333
214,"China, Taiwan Province of",23270666.666666668
215,United Republic of Tanzania,47797000.0
216,Thailand,66790666.66666667
217,Togo,6644000.0
220,Trinidad and Tobago,1337000.0
221,Oman,3323666.6666666665
222,Tunisia,10875000.0
223,Turkey,73996333.33333333
225,United Arab Emirates,9159000.0
226,Uganda,36357666.666666664
229,United Kingdom,63028666.666666664
230,Ukraine,45524000.0
231,United States of America,317489333.3333333
233,Burkina Faso,16463333.333333332
234,Uruguay,3395000.0
235,Uzbekistan,28542333.333333332
236,Venezuela (Bolivarian Republic of),29953666.666666668
237,Viet Nam,90796666.66666667
238,Ethiopia,91741000.0
244,Samoa,188666.66666666666
249,Yemen,23854333.333333332
251,Zambia,14082666.666666666
255,Belgium,11057000.0
256,Luxembourg,523333.3333333334
272,Serbia,9553666.666666666
273,Montenegro,621000.0
276,Sudan,37579500.0
351,China,1408000333.3333333
