per_unit_group,footprint_type,unit,centile_25,centile_50,centile_75,centile_up,centile_down,weighted_avg,chart_group
Bivalve mollusks,kg_co2e_excl_luc,per_g_protein,0.010316560074385315,0.013552740235077337,0.017634207113081928,0.0040814668780045915,0.003236180160692022,0.020080463179410785,Aquatic animals
Bivalve mollusks,kg_co2e_excl_luc,per_kcal,0.0015540327218008555,0.002041513997254757,0.002656324848510662,0.0006148108512559051,0.00048748127545390155,0.0030248160845010074,Aquatic animals
Bivalve mollusks,kg_co2e_excl_luc,per_kg_edible_wt,1.6695999999999998,2.193333333333333,2.8538652403238984,0.6605319069905655,0.5237333333333332,3.2497597147314456,Aquatic animals
Bivalve mollusks,kg_co2e_excl_luc,per_kg_nut_adjusted,0.25044,0.32899999999999996,0.4280797860485848,0.09907978604858486,0.07855999999999996,0.48746395720971697,Aquatic animals
Bivalve mollusks,kg_co2e_excl_luc,per_serving,0.28399428511999997,0.37307985866666654,0.4854344865564222,0.11235462788975564,0.08908557354666657,0.5527750281486178,Aquatic animals
Bovine meat,kg_co2_luc_feed_palm,per_g_protein,0.0,0.0,0.0001837910920399375,0.0001837910920399375,0.0,0.0002443365511650339,Terrestrial meat
Bovine meat,kg_co2_luc_feed_palm,per_kcal,0.0,0.0,1.5986184766523735e-05,1.5986184766523735e-05,0.0,2.1252440522474523e-05,Terrestrial meat
Bovine meat,kg_co2_luc_feed_palm,per_kg_edible_wt,0.0,0.0,0.035814557335018704,0.035814557335018704,0.0,0.04761278320735643,Terrestrial meat
Bovine meat,kg_co2_luc_feed_palm,per_kg_nut_adjusted,0.0,0.0,0.025428335707863278,0.025428335707863278,0.0,0.03380507607722307,Terrestrial meat
Bovine meat,kg_co2_luc_feed_palm,per_serving,0.0,0.0,0.004061303947950762,0.004061303947950762,0.0,0.0053992007385188995,Terrestrial meat
Bovine meat,kg_co2_luc_feed_soy,per_g_protein,0.0,0.000709673312463647,0.00204998710232273,0.0013403137898590827,0.000709673312463647,0.0050694381170747925,Terrestrial meat
Bovine meat,kg_co2_luc_feed_soy,per_kcal,0.0,6.172752210672729e-05,0.00017830827502565016,0.00011658075291892287,6.172752210672729e-05,0.00044094070883699714,Terrestrial meat
Bovine meat,kg_co2_luc_feed_soy,per_kg_edible_wt,0.0,0.13829090004448602,0.3994719210669489,0.2611810210224629,0.13829090004448602,0.9878589875338015,Terrestrial meat
Bovine meat,kg_co2_luc_feed_soy,per_kg_nut_adjusted,0.0,0.09818653903158507,0.28362506395753373,0.18543852492594864,0.09818653903158507,0.7013798811489992,Terrestrial meat
Bovine meat,kg_co2_luc_feed_soy,per_serving,0.0,0.0156819299220313,0.04529937016807268,0.02961744024604138,0.0156819299220313,0.11202136518288967,Terrestrial meat
Bovine meat,kg_co2_luc_pasture,per_g_protein,0.0,0.0,0.0,0.0,0.0,0.03264941828011039,Terrestrial meat
Bovine meat,kg_co2_luc_pasture,per_kcal,0.0,0.0,0.0,0.0,0.0,0.00283985272274211,Terrestrial meat
Bovine meat,kg_co2_luc_pasture,per_kg_edible_wt,0.0,0.0,0.0,0.0,0.0,6.36224775624016,Terrestrial meat
Bovine meat,kg_co2_luc_pasture,per_kg_nut_adjusted,0.0,0.0,0.0,0.0,0.0,4.517195906930514,Terrestrial meat
Bovine meat,kg_co2_luc_pasture,per_serving,0.0,0.0,0.0,0.0,0.0,0.7214670193618227,Terrestrial meat
Bovine meat,kg_co2e_excl_luc,per_g_protein,0.16534507423318412,0.2860136064809138,0.372425492660201,0.08641188617928719,0.12066853224772967,0.25813801874809633,Terrestrial meat
Bovine meat,kg_co2e_excl_luc,per_kcal,0.014381746566650214,0.02487751886228606,0.03239364145100069,0.007516122588714629,0.010495772295635846,0.022452894844733413,Terrestrial meat
Bovine meat,kg_co2e_excl_luc,per_kg_edible_wt,32.220063417983866,55.73420667025733,72.5729087947471,16.838702124489764,23.514143252273463,50.3022141616792,Terrestrial meat
Bovine meat,kg_co2e_excl_luc,per_kg_nut_adjusted,22.876245026768544,39.5712867358827,51.526765244270436,11.955478508387735,16.695041709114157,35.714572054792235,Terrestrial meat
Bovine meat,kg_co2e_excl_luc,per_serving,3.65369504748099,6.320154999221397,8.229632387894572,1.9094773886731753,2.6664599517404066,5.704177188467987,Terrestrial meat
Bovine meat,l_blue_wf_excl_pond,per_g_protein,1.2589582499135432,1.6701936400915958,2.7192081034073334,1.0490144633157377,0.41123539017805255,2.870953659247354,Terrestrial meat
Bovine meat,l_blue_wf_excl_pond,per_kcal,0.10950443230449891,0.1452737661549735,0.23651724725729528,0.09124348110232178,0.035769333850474594,0.24971610508132014,Terrestrial meat
Bovine meat,l_blue_wf_excl_pond,per_kg_edible_wt,245.32762672809855,325.46324862494345,529.8800580833771,204.41680945843365,80.1356218968449,559.4500434926034,Terrestrial meat
Bovine meat,l_blue_wf_excl_pond,per_kg_nut_adjusted,174.18261497694996,231.07890652370983,376.21484123919777,145.13593471548793,56.89629154675987,397.20953087974834,Terrestrial meat
Bovine meat,l_blue_wf_excl_pond,per_serving,27.81969492606315,36.906924862671154,60.087409477213214,23.18048461454206,9.087229936608004,63.44059062531336,Terrestrial meat
Bovine meat,l_green_wf,per_g_protein,65.66179734741763,86.36859406311787,110.45905178892431,24.090457725806445,20.706796715700236,76.35764559195535,Terrestrial meat
Bovine meat,l_green_wf,per_kcal,5.711275845021707,7.5123570320691195,9.607749708832724,2.0953926767636046,1.8010811870474122,6.64160279598581,Terrestrial meat
Bovine meat,l_green_wf,per_kg_edible_wt,12795.224075976754,16830.26598126057,21524.66694417697,4694.400962916399,4035.041905283817,14879.476723637255,Terrestrial meat
Bovine meat,l_green_wf,per_kg_nut_adjusted,9084.609093943494,11949.488846695005,15282.513530365646,3333.024683670641,2864.8797527515108,10564.42847378245,Terrestrial meat
Bovine meat,l_green_wf,per_serving,1450.9545257974887,1908.5207457784504,2440.8570520913727,532.3363063129223,457.5662199809617,1687.3048854372473,Terrestrial meat
Butter,kg_co2_luc_feed_palm,per_g_protein,0.0,0.0,0.0027540244354036254,0.0027540244354036254,0.0,0.006302621247015546,Dairy and eggs
Butter,kg_co2_luc_feed_palm,per_kcal,0.0,0.0,2.200350277324424e-06,2.200350277324424e-06,0.0,5.035530633085683e-06,Dairy and eggs
Butter,kg_co2_luc_feed_palm,per_kg_edible_wt,0.0,0.0,0.01712943420517465,0.01712943420517465,0.0,0.03920093612207408,Dairy and eggs
Butter,kg_co2_luc_feed_palm,per_kg_nut_adjusted,0.0,0.0,0.01712943420517465,0.01712943420517465,0.0,0.03920093612207408,Dairy and eggs
Butter,kg_co2_luc_feed_palm,per_serving,0.0,0.0,0.00024323796571348004,0.00024323796571348004,0.0,0.0005566532929334516,Dairy and eggs
Butter,kg_co2_luc_feed_soy,per_g_protein,0.0,0.00931895270138922,0.02877837975628949,0.01945942705490027,0.00931895270138922,0.024523689223425797,Dairy and eggs
Butter,kg_co2_luc_feed_soy,per_kcal,0.0,7.445453241909885e-06,2.2992721147885795e-05,1.554726790597591e-05,7.445453241909885e-06,1.9593401456466947e-05,Dairy and eggs
Butter,kg_co2_luc_feed_soy,per_kg_edible_wt,0.0,0.05796186304940549,0.17899527550656746,0.12103341245716198,0.05796186304940549,0.15253202390677303,Dairy and eggs
Butter,kg_co2_luc_feed_soy,per_kg_nut_adjusted,0.0,0.05796186304940549,0.17899527550656746,0.12103341245716198,0.05796186304940549,0.15253202390677303,Dairy and eggs
Butter,kg_co2_luc_feed_soy,per_serving,0.0,0.0008230584553015578,0.002541732912193258,0.0017186744568917002,0.0008230584553015578,0.002165954739476177,Dairy and eggs
Butter,kg_co2_luc_pasture,per_g_protein,0.0,0.0,0.0,0.0,0.0,0.010810693264678007,Dairy and eggs
Butter,kg_co2_luc_pasture,per_kcal,0.0,0.0,0.0,0.0,0.0,8.63729152770473e-06,Dairy and eggs
Butter,kg_co2_luc_pasture,per_kg_edible_wt,0.0,0.0,0.0,0.0,0.0,0.06724016555883855,Dairy and eggs
Butter,kg_co2_luc_pasture,per_kg_nut_adjusted,0.0,0.0,0.0,0.0,0.0,0.06724016555883855,Dairy and eggs
Butter,kg_co2_luc_pasture,per_serving,0.0,0.0,0.0,0.0,0.0,0.0009548103509355074,Dairy and eggs
Butter,kg_co2e_excl_luc,per_g_protein,1.9540851285616891,2.538737377620633,5.968444944162419,3.4297075665417864,0.5846522490589436,2.687896931305682,Dairy and eggs
Butter,kg_co2e_excl_luc,per_kcal,0.0015612322458991156,0.0020283449271875286,0.0047685377512486134,0.002740192824061085,0.00046711268128841305,0.0021475171687614794,Dairy and eggs
Butter,kg_co2e_excl_luc,per_kg_edible_wt,12.153985349843872,15.790395435542624,37.12243205396756,21.332036618424933,3.6364100856987527,16.718135483189222,Dairy and eggs
Butter,kg_co2e_excl_luc,per_kg_nut_adjusted,12.153985349843872,15.790395435542624,37.12243205396756,21.332036618424933,3.6364100856987527,16.718135483189222,Dairy and eggs
Butter,kg_co2e_excl_luc,per_serving,0.17258659196778295,0.22422361518470527,0.5271385351663394,0.3029149199816341,0.05163702321692232,0.23739752386128682,Dairy and eggs
